exports,log_exports,Year,MSA,Per_Capita_Income,Population,Manufacturing_Employment,Top_Corporate_Income_Tax_Rate,FHFA_index,avg_weather,energy_consumption,Minimum_Wage,S&P500_Close
848467558.0,20.55894240737607,2023,"Waco, TX",53528.0,285869.0,16.6,0.0,383.9249999999999,67.825,5003.0,7.25,4845.65
123307112.0,18.630188646925298,2023,"Walla Walla, WA",56420.0,61568.0,4.0,0.0,401.855,52.150000000000006,6281.0,15.74,4845.65
14758948403.0,23.415115407171378,2023,"Washington-Arlington-Alexandria, DC-VA-MD-WV",89396.0,6413831.0,57.2,0.06,367.745,56.64166666666666,4930.0,12.0,4845.65
1976451402.0,21.404568852490808,2023,"Waterloo-Cedar Falls, IA",57114.0,168162.0,16.1,0.084,306.66499999999996,48.81666666666667,7289.0,7.25,4845.65
215408046.0,19.188044675749374,2023,"Watertown-Fort Drum, NY",54926.0,114787.0,1.8,0.065,289.72249999999997,49.25833333333333,6491.0,14.2,4845.65
316739752.0,19.573591023050973,2023,"Wausau, WI",61617.0,167017.0,18.8,0.079,273.6575,43.541666666666664,8348.0,7.25,4845.65
375757824.0,19.744455408735867,2023,"Weirton-Steubenville, WV-OH",50649.0,113544.0,4.7,0.065,278.0575,54.29999999999999,5263.0,8.75,4845.65
478920603.0,19.987045385895065,2023,"Wenatchee-East Wenatchee, WA",62458.0,124795.0,2.9,0.0,398.31499999999994,43.775,7993.0,15.74,4845.65
1784907710.0,21.30263254776013,2023,"Wheeling, WV-OH",56458.0,135517.0,3.0,0.065,249.12,54.29999999999999,5263.0,8.75,4845.65
279523631.0,19.44859739439158,2023,"Wichita Falls, TX",56148.0,149947.0,5.4,0.0,280.485,65.675,5156.0,7.25,4845.65
4475085843.0,22.22179137128254,2023,"Wichita, KS",60375.0,652939.0,52.1,0.04,274.925,58.208333333333336,5823.0,7.25,4845.65
393730543.0,19.79117733228,2023,"Williamsport, PA",53630.0,112724.0,7.6,0.0899,271.455,52.150000000000006,5781.0,7.25,4845.65
671452977.0,20.32495454466991,2023,"Wilmington, NC",62278.0,307373.0,8.5,0.025,399.6475,63.54999999999999,3989.0,7.25,4845.65
1071122750.0,20.79197323435618,2023,"Winston-Salem, NC",57101.0,695630.0,34.1,0.025,281.45750000000004,60.116666666666674,4331.0,7.25,4845.65
1207873141.0,20.91212691521602,2023,"Yakima, WA",51488.0,256643.0,8.2,0.0,326.76250000000005,52.150000000000006,6281.0,15.74,4845.65
2312594272.0,21.5616357927902,2023,"York-Hanover, PA",60915.0,464640.0,32.9,0.0899,262.45750000000004,54.8,5379.0,7.25,4845.65
753454091.0,20.44017864650379,2023,"Youngstown-Warren, OH",51869.0,534472.0,18.7,0.0,241.2925,52.35833333333333,5697.0,10.1,4845.65
222986589.0,19.22262218860252,2023,"Yuba City, CA",52354.0,183670.0,2.3,0.0884,362.295,54.7,5252.0,15.5,4845.65
734844797.0,20.41516987433537,2023,"Yuma, AZ",46441.0,213221.0,2.9,0.049,316.31499999999994,72.43333333333332,5374.0,13.85,4845.65
