Date,Price,Open,High,Low,Vol.,Change %
28-Feb-25,"5,763.87","5,974.38","5,986.38","5,504.48",,-3.20%
31-Jan-25,"5,954.50","5,969.65","6,147.43","5,837.66",,-1.42%
31-Dec-24,"6,040.53","5,903.26","6,128.18","5,773.31",0.00K,2.70%
30-Nov-24,"5,881.63","6,040.11","6,099.97","5,832.30",,-2.50%
31-Oct-24,"6,032.38","5,723.22","6,044.17","5,696.51",,5.73%
30-Sep-24,"5,705.45","5,757.73","5,878.46","5,674.00",,-0.99%
31-Aug-24,"5,762.48","5,623.89","5,767.37","5,402.62",,2.02%
31-Jul-24,"5,648.40","5,537.84","5,651.62","5,119.26",,2.28%
30-Jun-24,"5,522.30","5,471.08","5,669.67","5,390.95",,1.13%
31-May-24,"5,460.48","5,297.15","5,523.64","5,234.32",,3.47%
30-Apr-24,"5,277.51","5,029.03","5,341.88","5,011.05",,4.80%
31-Mar-24,"5,035.69","5,257.97","5,263.95","4,953.56",,-4.16%
29-Feb-24,"5,254.35","5,098.51","5,264.85","5,056.82",,3.10%
31-Jan-24,"5,096.27","4,861.11","5,111.06","4,853.52",,5.17%
31-Dec-23,"4,845.65","4,745.20","4,931.09","4,682.11",,1.59%
30-Nov-23,"4,769.83","4,559.43","4,793.30","4,546.50",,4.42%
31-Oct-23,"4,567.80","4,201.27","4,587.64","4,197.74",,8.92%
30-Sep-23,"4,193.80","4,284.52","4,393.57","4,103.78",,-2.20%
31-Aug-23,"4,288.05","4,530.60","4,541.25","4,238.63",,-4.87%
31-Jul-23,"4,507.66","4,578.83","4,584.62","4,335.31",,-1.77%
30-Jun-23,"4,588.96","4,450.48","4,607.07","4,385.05",,3.11%
31-May-23,"4,450.38","4,183.03","4,458.48","4,171.64",,6.47%
30-Apr-23,"4,179.83","4,166.79","4,231.10","4,048.28",,0.25%
31-Mar-23,"4,169.48","4,102.20","4,170.06","4,049.35",,1.46%
28-Feb-23,"4,109.31","3,963.34","4,110.75","3,808.86",,3.51%
31-Jan-23,"3,970.15","4,070.07","4,195.44","3,943.08",,-2.61%
31-Dec-22,"4,076.60","3,853.29","4,094.21","3,794.33",,6.18%
30-Nov-22,"3,839.50","4,087.14","4,100.96","3,764.49",,-5.90%
31-Oct-22,"4,080.11","3,901.79","4,080.11","3,698.15",,5.38%
30-Sep-22,"3,871.98","3,609.78","3,905.42","3,491.58",,7.99%
31-Aug-22,"3,585.62","3,936.73","4,119.28","3,584.13",,-9.34%
31-Jul-22,"3,955.00","4,112.38","4,325.28","3,954.53",,-4.24%
30-Jun-22,"4,130.29","3,781.00","4,140.15","3,721.56",,9.11%
31-May-22,"3,785.38","4,149.78","4,177.51","3,636.87",,-8.39%
30-Apr-22,"4,132.15","4,130.61","4,307.66","3,810.32",,0.01%
31-Mar-22,"4,131.93","4,540.32","4,593.45","4,124.28",,-8.80%
28-Feb-22,"4,530.41","4,363.14","4,637.30","4,157.87",,3.58%
31-Jan-22,"4,373.94","4,519.57","4,595.31","4,114.65",,-3.14%
31-Dec-21,"4,515.55","4,778.14","4,818.62","4,222.62",,-5.26%
30-Nov-21,"4,766.18","4,602.82","4,808.93","4,495.12",,4.36%
31-Oct-21,"4,567.00","4,610.62","4,743.83","4,560.00",,-0.83%
30-Sep-21,"4,605.38","4,317.16","4,608.08","4,278.94",,6.91%
31-Aug-21,"4,307.54","4,528.80","4,545.85","4,305.91",,-4.76%
31-Jul-21,"4,522.68","4,406.86","4,537.36","4,367.73",,2.90%
30-Jun-21,"4,395.26","4,300.73","4,429.97","4,233.13",,2.27%
31-May-21,"4,297.50","4,216.52","4,302.43","4,164.40",,2.22%
30-Apr-21,"4,204.11","4,191.98","4,238.04","4,056.88",,0.55%
31-Mar-21,"4,181.17","3,992.78","4,218.78","3,992.78",,5.24%
28-Feb-21,"3,972.89","3,842.51","3,994.41","3,723.34",,4.24%
31-Jan-21,"3,811.15","3,731.17","3,950.43","3,725.62",,2.61%
31-Dec-20,"3,714.24","3,764.61","3,870.90","3,662.71",,-1.11%
30-Nov-20,"3,756.07","3,645.87","3,760.20","3,633.40",,3.71%
31-Oct-20,"3,621.63","3,296.20","3,645.99","3,279.74",,10.75%
30-Sep-20,"3,269.96","3,385.87","3,549.85","3,233.94",,-2.77%
31-Aug-20,"3,363.00","3,507.44","3,588.11","3,209.45",,-3.92%
31-Jul-20,"3,500.31","3,288.26","3,514.77","3,284.53",,7.01%
30-Jun-20,"3,271.12","3,105.92","3,279.99","3,101.17",,5.51%
31-May-20,"3,100.29","3,038.78","3,233.13","2,965.66",,1.84%
30-Apr-20,"3,044.31","2,869.09","3,068.67","2,766.64",,4.53%
31-Mar-20,"2,912.43","2,498.08","2,954.86","2,447.49",,12.68%
29-Feb-20,"2,584.59","2,974.28","3,136.72","2,191.86",,-12.51%
31-Jan-20,"2,954.22","3,235.66","3,393.52","2,855.84",,-8.41%
31-Dec-19,"3,225.52","3,244.67","3,337.77","3,214.64",,-0.16%
30-Nov-19,"3,230.78","3,143.85","3,247.93","3,070.33",,2.86%
31-Oct-19,"3,140.98","3,050.72","3,154.26","3,050.72",,3.40%
30-Sep-19,"3,037.56","2,983.69","3,050.10","2,855.94",,2.04%
31-Aug-19,"2,976.74","2,909.01","3,021.99","2,891.85",,1.72%
31-Jul-19,"2,926.46","2,980.32","3,013.59","2,822.12",,-1.81%
30-Jun-19,"2,980.38","2,971.41","3,027.98","2,952.22",,1.31%
31-May-19,"2,941.76","2,751.53","2,964.15","2,728.81",,6.89%
30-Apr-19,"2,752.06","2,952.33","2,954.13","2,750.52",,-6.58%
31-Mar-19,"2,945.83","2,848.63","2,949.52","2,848.63",,3.93%
28-Feb-19,"2,834.40","2,798.22","2,860.31","2,722.27",,1.79%
31-Jan-19,"2,784.49","2,702.32","2,813.49","2,681.83",,2.97%
31-Dec-18,"2,704.10","2,476.96","2,708.95","2,443.96",,7.87%
30-Nov-18,"2,506.85","2,790.50","2,800.18","2,346.58",,-9.18%
31-Oct-18,"2,760.17","2,717.58","2,815.15","2,631.09",,1.79%
30-Sep-18,"2,711.74","2,926.29","2,939.86","2,603.54",,-6.94%
31-Aug-18,"2,913.98","2,896.96","2,940.91","2,864.12",,0.43%
31-Jul-18,"2,901.52","2,821.17","2,916.50","2,796.34",,3.03%
30-Jun-18,"2,816.29","2,704.95","2,848.03","2,698.95",,3.60%
31-May-18,"2,718.37","2,718.70","2,791.47","2,691.99",,0.48%
30-Apr-18,"2,705.27","2,643.64","2,742.24","2,594.62",,2.16%
31-Mar-18,"2,648.05","2,633.45","2,717.49","2,553.80",,0.27%
28-Feb-18,"2,640.87","2,715.22","2,801.90","2,585.89",,-2.69%
31-Jan-18,"2,713.83","2,816.45","2,835.96","2,532.69",,-3.89%
31-Dec-17,"2,823.81","2,683.73","2,872.87","2,682.36",,5.62%
30-Nov-17,"2,673.61","2,645.10","2,694.97","2,605.52",,0.98%
31-Oct-17,"2,647.58","2,583.21","2,657.74","2,557.45",,2.81%
30-Sep-17,"2,575.26","2,521.20","2,582.98","2,520.40",,2.22%
31-Aug-17,"2,519.36","2,474.42","2,519.44","2,446.55",,1.93%
31-Jul-17,"2,471.65","2,477.10","2,490.87","2,417.35",,0.05%
30-Jun-17,"2,470.30","2,431.39","2,484.04","2,407.70",,1.93%
31-May-17,"2,423.41","2,415.65","2,453.82","2,405.70",,0.48%
30-Apr-17,"2,411.80","2,388.50","2,418.71","2,352.72",,1.16%
31-Mar-17,"2,384.20","2,362.34","2,398.16","2,328.95",,0.91%
28-Feb-17,"2,362.72","2,380.13","2,400.98","2,322.25",,-0.04%
31-Jan-17,"2,363.64","2,285.59","2,371.54","2,271.65",,3.72%
31-Dec-16,"2,278.87","2,251.57","2,300.99","2,245.13",,1.79%
30-Nov-16,"2,238.83","2,200.17","2,277.53","2,187.44",,1.82%
31-Oct-16,"2,198.81","2,128.68","2,214.10","2,083.79",,3.42%
30-Sep-16,"2,126.15","2,164.33","2,169.60","2,114.72",,-1.94%
31-Aug-16,"2,168.27","2,171.33","2,187.87","2,119.12",,-0.12%
31-Jul-16,"2,170.95","2,173.15","2,193.81","2,147.58",,-0.12%
30-Jun-16,"2,173.60","2,099.34","2,177.09","2,074.02",,3.56%
31-May-16,"2,098.86","2,093.94","2,120.55","1,991.68",,0.09%
30-Apr-16,"2,096.96","2,067.17","2,103.48","2,025.91",,1.53%
31-Mar-16,"2,065.30","2,056.62","2,111.05","2,033.80",,0.27%
29-Feb-16,"2,059.74","1,937.09","2,072.21","1,937.09",,6.60%
31-Jan-16,"1,932.23","1,936.94","1,962.96","1,810.10",,-0.41%
31-Dec-15,"1,940.24","2,038.20","2,038.20","1,812.29",,-5.07%
30-Nov-15,"2,043.94","2,082.93","2,104.27","1,993.26",,-1.75%
31-Oct-15,"2,080.41","2,080.76","2,116.48","2,019.39",,0.05%
30-Sep-15,"2,079.36","1,919.65","2,094.32","1,893.70",,8.30%
31-Aug-15,"1,920.03","1,970.09","2,020.86","1,871.91",,-2.64%
31-Jul-15,"1,972.18","2,104.49","2,112.66","1,867.01",,-6.26%
